# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P316
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_te__jdit_graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P316;P586;P431;P791;P6;P596
4.0;7.0;3.0;4.0;3.0;2.0
5.0;2.0;6.0;3.0;3.0;3.0
9.0;4.0;4.0;4.0;2.0;5.0
2.0;6.0;2.0;2.0;7.0;4.0
1.0;8.0;5.0;6.0;6.0;3.0
8.0;8.0;6.0;6.0;3.0;3.0
4.0;7.0;8.0;6.0;8.0;7.0
4.0;3.0;8.0;7.0;6.0;3.0
10.0;3.0;8.0;6.0;6.0;3.0
9.0;8.0;7.0;4.0;3.0;4.0
4.0;6.0;8.0;5.0;1.0;5.0
5.0;4.0;7.0;2.0;1.0;4.0
4.0;4.0;13.0;5.0;5.0;9.0
8.0;4.0;4.0;4.0;4.0;7.0
5.0;13.0;1.0;4.0;3.0;5.0
3.0;3.0;5.0;9.0;5.0;11.0
6.0;6.0;6.0;5.0;3.0;5.0
5.0;8.0;8.0;10.0;5.0;9.0
4.0;4.0;9.0;5.0;10.0;10.0
2.0;8.0;9.0;7.0;8.0;6.0
5.0;5.0;8.0;5.0;4.0;4.0
4.0;10.0;11.0;7.0;9.0;10.0
4.0;7.0;10.0;8.0;7.0;8.0
2.0;9.0;9.0;7.0;5.0;7.0
5.0;13.0;12.0;12.0;4.0;6.0
7.0;14.0;11.0;9.0;2.0;12.0
2.0;6.0;1.0;3.0;1.0;3.0
4.0;4.0;5.0;8.0;3.0;4.0
5.0;7.0;4.0;6.0;2.0;1.0
1.0;5.0;4.0;3.0;4.0;2.0
6.0;7.0;4.0;5.0;0.0;1.0
2.0;4.0;2.0;3.0;3.0;5.0
6.0;4.0;3.0;2.0;2.0;5.0
4.0;8.0;7.0;4.0;11.0;6.0
4.0;5.0;1.0;2.0;2.0;6.0
4.0;2.0;9.0;6.0;1.0;2.0
6.0;3.0;4.0;4.0;4.0;6.0
2.0;5.0;4.0;4.0;4.0;7.0
3.0;4.0;5.0;3.0;3.0;4.0
1.0;4.0;6.0;5.0;2.0;7.0
6.0;7.0;5.0;2.0;5.0;5.0
3.0;8.0;1.0;8.0;4.0;1.0
7.0;3.0;6.0;4.0;4.0;6.0
2.0;2.0;8.0;8.0;2.0;6.0
1.0;6.0;4.0;3.0;4.0;7.0
6.0;2.0;5.0;6.0;3.0;2.0
3.0;7.0;6.0;6.0;6.0;10.0
1.0;5.0;5.0;4.0;5.0;5.0
2.0;4.0;5.0;4.0;3.0;3.0
3.0;5.0;7.0;13.0;3.0;7.0
4.0;12.0;6.0;6.0;10.0;12.0
2.0;11.0;14.0;13.0;6.0;7.0
1.0;2.0;1.0;2.0;0.0;1.0
10.0;14.0;14.0;13.0;11.0;12.0
0.33;0.42;0.15;0.18;0.27;0.09
0.44;0.0;0.38;0.09;0.27;0.18
0.89;0.17;0.23;0.18;0.18;0.36
0.11;0.33;0.08;0.0;0.64;0.27
0.0;0.5;0.31;0.36;0.55;0.18
0.78;0.5;0.38;0.36;0.27;0.18
0.33;0.42;0.54;0.36;0.73;0.55
0.33;0.08;0.54;0.45;0.55;0.18
1.0;0.08;0.54;0.36;0.55;0.18
0.89;0.5;0.46;0.18;0.27;0.27
0.33;0.33;0.54;0.27;0.09;0.36
0.44;0.17;0.46;0.0;0.09;0.27
0.33;0.17;0.92;0.27;0.45;0.73
0.78;0.17;0.23;0.18;0.36;0.55
0.44;0.92;0.0;0.18;0.27;0.36
0.22;0.08;0.31;0.64;0.45;0.91
0.56;0.33;0.38;0.27;0.27;0.36
0.44;0.5;0.54;0.73;0.45;0.73
0.33;0.17;0.62;0.27;0.91;0.82
0.11;0.5;0.62;0.45;0.73;0.45
0.44;0.25;0.54;0.27;0.36;0.27
0.33;0.67;0.77;0.45;0.82;0.82
0.33;0.42;0.69;0.55;0.64;0.64
0.11;0.58;0.62;0.45;0.45;0.55
0.44;0.92;0.85;0.91;0.36;0.45
0.67;1.0;0.77;0.64;0.18;1.0
0.11;0.33;0.0;0.09;0.09;0.18
0.33;0.17;0.31;0.55;0.27;0.27
0.44;0.42;0.23;0.36;0.18;0.0
0.0;0.25;0.23;0.09;0.36;0.09
0.56;0.42;0.23;0.27;0.0;0.0
0.11;0.17;0.08;0.09;0.27;0.36
0.56;0.17;0.15;0.0;0.18;0.36
0.33;0.5;0.46;0.18;1.0;0.45
0.33;0.25;0.0;0.0;0.18;0.45
0.33;0.0;0.62;0.36;0.09;0.09
0.56;0.08;0.23;0.18;0.36;0.45
0.11;0.25;0.23;0.18;0.36;0.55
0.22;0.17;0.31;0.09;0.27;0.27
0.0;0.17;0.38;0.27;0.18;0.55
0.56;0.42;0.31;0.0;0.45;0.36
0.22;0.5;0.0;0.55;0.36;0.0
0.67;0.08;0.38;0.18;0.36;0.45
0.11;0.0;0.54;0.55;0.18;0.45
0.0;0.33;0.23;0.09;0.36;0.55
0.56;0.0;0.31;0.36;0.27;0.09
0.22;0.42;0.38;0.36;0.55;0.82
0.0;0.25;0.31;0.18;0.45;0.36
0.11;0.17;0.31;0.18;0.27;0.18
0.22;0.25;0.46;1.0;0.27;0.55
0.33;0.83;0.38;0.36;0.91;1.0
0.11;0.75;1.0;1.0;0.55;0.55
