# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P168
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_te__jdit_graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P168;P814;P311;P293;P586;P791
34.0;4.0;8.0;6.0;7.0;4.0
29.0;2.0;6.0;3.0;2.0;3.0
34.0;2.0;1.0;5.0;4.0;4.0
59.0;6.0;9.0;2.0;6.0;2.0
27.0;0.0;5.0;6.0;8.0;6.0
39.0;4.0;1.0;4.0;8.0;6.0
34.0;7.0;3.0;4.0;7.0;6.0
49.0;8.0;5.0;4.0;3.0;7.0
35.0;3.0;12.0;0.0;3.0;6.0
45.0;2.0;4.0;5.0;8.0;4.0
39.0;6.0;7.0;3.0;6.0;5.0
28.0;9.0;3.0;4.0;4.0;2.0
43.0;5.0;3.0;1.0;4.0;5.0
40.0;4.0;6.0;4.0;4.0;4.0
37.0;5.0;2.0;7.0;13.0;4.0
33.0;3.0;3.0;10.0;3.0;9.0
42.0;4.0;2.0;2.0;6.0;5.0
31.0;3.0;9.0;5.0;8.0;10.0
43.0;6.0;6.0;5.0;4.0;5.0
30.0;5.0;0.0;2.0;8.0;7.0
35.0;5.0;7.0;2.0;5.0;5.0
44.0;3.0;2.0;3.0;10.0;7.0
40.0;3.0;2.0;3.0;7.0;8.0
36.0;12.0;4.0;9.0;9.0;7.0
40.0;9.0;7.0;6.0;13.0;12.0
23.0;7.0;3.0;5.0;14.0;9.0
31.0;3.0;5.0;6.0;6.0;3.0
26.0;6.0;6.0;0.0;4.0;8.0
21.0;5.0;8.0;6.0;7.0;6.0
42.0;3.0;1.0;2.0;5.0;3.0
40.0;7.0;3.0;1.0;7.0;5.0
34.0;4.0;4.0;6.0;4.0;3.0
27.0;3.0;8.0;3.0;4.0;2.0
26.0;6.0;0.0;4.0;8.0;4.0
39.0;3.0;4.0;3.0;5.0;2.0
32.0;8.0;2.0;2.0;2.0;6.0
40.0;1.0;8.0;5.0;3.0;4.0
29.0;2.0;4.0;1.0;5.0;4.0
29.0;3.0;1.0;1.0;4.0;3.0
28.0;4.0;8.0;3.0;4.0;5.0
30.0;3.0;4.0;2.0;7.0;2.0
26.0;8.0;7.0;3.0;8.0;8.0
27.0;6.0;2.0;4.0;3.0;4.0
36.0;7.0;5.0;2.0;2.0;8.0
37.0;3.0;0.0;8.0;6.0;3.0
26.0;4.0;2.0;2.0;2.0;6.0
44.0;4.0;3.0;3.0;7.0;6.0
41.0;8.0;5.0;5.0;5.0;4.0
29.0;4.0;4.0;5.0;4.0;4.0
34.0;16.0;6.0;7.0;5.0;13.0
25.0;7.0;2.0;2.0;12.0;6.0
18.0;11.0;4.0;1.0;11.0;13.0
18.0;0.0;0.0;0.0;2.0;2.0
59.0;16.0;12.0;10.0;14.0;13.0
0.39;0.25;0.67;0.6;0.42;0.18
0.27;0.13;0.5;0.3;0.0;0.09
0.39;0.13;0.08;0.5;0.17;0.18
1.0;0.38;0.75;0.2;0.33;0.0
0.22;0.0;0.42;0.6;0.5;0.36
0.51;0.25;0.08;0.4;0.5;0.36
0.39;0.44;0.25;0.4;0.42;0.36
0.76;0.5;0.42;0.4;0.08;0.45
0.41;0.19;1.0;0.0;0.08;0.36
0.66;0.13;0.33;0.5;0.5;0.18
0.51;0.38;0.58;0.3;0.33;0.27
0.24;0.56;0.25;0.4;0.17;0.0
0.61;0.31;0.25;0.1;0.17;0.27
0.54;0.25;0.5;0.4;0.17;0.18
0.46;0.31;0.17;0.7;0.92;0.18
0.37;0.19;0.25;1.0;0.08;0.64
0.59;0.25;0.17;0.2;0.33;0.27
0.32;0.19;0.75;0.5;0.5;0.73
0.61;0.38;0.5;0.5;0.17;0.27
0.29;0.31;0.0;0.2;0.5;0.45
0.41;0.31;0.58;0.2;0.25;0.27
0.63;0.19;0.17;0.3;0.67;0.45
0.54;0.19;0.17;0.3;0.42;0.55
0.44;0.75;0.33;0.9;0.58;0.45
0.54;0.56;0.58;0.6;0.92;0.91
0.12;0.44;0.25;0.5;1.0;0.64
0.32;0.19;0.42;0.6;0.33;0.09
0.2;0.38;0.5;0.0;0.17;0.55
0.07;0.31;0.67;0.6;0.42;0.36
0.59;0.19;0.08;0.2;0.25;0.09
0.54;0.44;0.25;0.1;0.42;0.27
0.39;0.25;0.33;0.6;0.17;0.09
0.22;0.19;0.67;0.3;0.17;0.0
0.2;0.38;0.0;0.4;0.5;0.18
0.51;0.19;0.33;0.3;0.25;0.0
0.34;0.5;0.17;0.2;0.0;0.36
0.54;0.06;0.67;0.5;0.08;0.18
0.27;0.13;0.33;0.1;0.25;0.18
0.27;0.19;0.08;0.1;0.17;0.09
0.24;0.25;0.67;0.3;0.17;0.27
0.29;0.19;0.33;0.2;0.42;0.0
0.2;0.5;0.58;0.3;0.5;0.55
0.22;0.38;0.17;0.4;0.08;0.18
0.44;0.44;0.42;0.2;0.0;0.55
0.46;0.19;0.0;0.8;0.33;0.09
0.2;0.25;0.17;0.2;0.0;0.36
0.63;0.25;0.25;0.3;0.42;0.36
0.56;0.5;0.42;0.5;0.25;0.18
0.27;0.25;0.33;0.5;0.17;0.18
0.39;1.0;0.5;0.7;0.25;1.0
0.17;0.44;0.17;0.2;0.83;0.36
0.0;0.69;0.33;0.1;0.75;1.0
