# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P223
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_granger__graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P223;P234;P781;P218;P266;P487
0.0;0.0;9.0;0.0;6.0;7.0
0.0;0.0;13.0;0.0;8.0;10.0
0.0;0.0;15.0;0.0;7.0;15.0
0.0;0.0;15.0;0.0;15.0;12.0
0.0;1.0;16.0;0.0;17.0;14.0
0.0;0.0;17.0;0.0;10.0;10.0
0.0;0.0;14.0;0.0;6.0;9.0
0.0;0.0;15.0;1.0;13.0;12.0
0.0;0.0;15.0;0.0;11.0;15.0
0.0;0.0;19.0;0.0;14.0;11.0
1.0;0.0;19.0;0.0;6.0;10.0
0.0;0.0;16.0;0.0;14.0;16.0
0.0;0.0;13.0;0.0;9.0;19.0
1.0;0.0;16.0;0.0;5.0;10.0
0.0;0.0;19.0;0.0;12.0;14.0
0.0;0.0;22.0;0.0;10.0;13.0
1.0;0.0;18.0;0.0;5.0;18.0
0.0;0.0;20.0;0.0;5.0;10.0
1.0;0.0;11.0;0.0;7.0;16.0
0.0;0.0;18.0;0.0;10.0;17.0
0.0;0.0;23.0;0.0;10.0;17.0
0.0;1.0;19.0;0.0;8.0;6.0
1.0;0.0;23.0;0.0;15.0;19.0
0.0;0.0;25.0;0.0;9.0;16.0
1.0;0.0;27.0;0.0;11.0;13.0
0.0;0.0;18.0;0.0;18.0;18.0
0.0;0.0;10.0;0.0;9.0;6.0
0.0;0.0;11.0;0.0;5.0;10.0
0.0;0.0;15.0;0.0;9.0;11.0
0.0;0.0;17.0;0.0;8.0;11.0
0.0;0.0;13.0;0.0;12.0;10.0
0.0;0.0;10.0;0.0;7.0;10.0
1.0;0.0;10.0;0.0;9.0;13.0
0.0;0.0;10.0;0.0;10.0;12.0
0.0;0.0;10.0;0.0;7.0;16.0
0.0;0.0;12.0;0.0;7.0;10.0
0.0;0.0;15.0;0.0;8.0;9.0
0.0;0.0;11.0;0.0;11.0;16.0
0.0;0.0;19.0;0.0;4.0;12.0
0.0;0.0;15.0;1.0;11.0;10.0
0.0;0.0;26.0;0.0;7.0;8.0
0.0;0.0;20.0;0.0;2.0;6.0
2.0;0.0;16.0;0.0;5.0;9.0
0.0;0.0;11.0;0.0;8.0;11.0
1.0;0.0;19.0;0.0;9.0;8.0
0.0;0.0;12.0;0.0;14.0;14.0
0.0;0.0;11.0;0.0;10.0;10.0
0.0;0.0;20.0;0.0;10.0;13.0
0.0;0.0;20.0;1.0;12.0;8.0
0.0;0.0;17.0;0.0;13.0;7.0
0.0;2.0;20.0;0.0;5.0;8.0
0.0;0.0;30.0;2.0;19.0;20.0
0.0;0.0;9.0;0.0;2.0;6.0
2.0;2.0;30.0;2.0;19.0;20.0
0.0;0.0;0.0;0.0;0.24;0.07
0.0;0.0;0.19;0.0;0.35;0.29
0.0;0.0;0.29;0.0;0.29;0.64
0.0;0.0;0.29;0.0;0.76;0.43
0.0;0.5;0.33;0.0;0.88;0.57
0.0;0.0;0.38;0.0;0.47;0.29
0.0;0.0;0.24;0.0;0.24;0.21
0.0;0.0;0.29;0.5;0.65;0.43
0.0;0.0;0.29;0.0;0.53;0.64
0.0;0.0;0.48;0.0;0.71;0.36
0.5;0.0;0.48;0.0;0.24;0.29
0.0;0.0;0.33;0.0;0.71;0.71
0.0;0.0;0.19;0.0;0.41;0.93
0.5;0.0;0.33;0.0;0.18;0.29
0.0;0.0;0.48;0.0;0.59;0.57
0.0;0.0;0.62;0.0;0.47;0.5
0.5;0.0;0.43;0.0;0.18;0.86
0.0;0.0;0.52;0.0;0.18;0.29
0.5;0.0;0.1;0.0;0.29;0.71
0.0;0.0;0.43;0.0;0.47;0.79
0.0;0.0;0.67;0.0;0.47;0.79
0.0;0.5;0.48;0.0;0.35;0.0
0.5;0.0;0.67;0.0;0.76;0.93
0.0;0.0;0.76;0.0;0.41;0.71
0.5;0.0;0.86;0.0;0.53;0.5
0.0;0.0;0.43;0.0;0.94;0.86
0.0;0.0;0.05;0.0;0.41;0.0
0.0;0.0;0.1;0.0;0.18;0.29
0.0;0.0;0.29;0.0;0.41;0.36
0.0;0.0;0.38;0.0;0.35;0.36
0.0;0.0;0.19;0.0;0.59;0.29
0.0;0.0;0.05;0.0;0.29;0.29
0.5;0.0;0.05;0.0;0.41;0.5
0.0;0.0;0.05;0.0;0.47;0.43
0.0;0.0;0.05;0.0;0.29;0.71
0.0;0.0;0.14;0.0;0.29;0.29
0.0;0.0;0.29;0.0;0.35;0.21
0.0;0.0;0.1;0.0;0.53;0.71
0.0;0.0;0.48;0.0;0.12;0.43
0.0;0.0;0.29;0.5;0.53;0.29
0.0;0.0;0.81;0.0;0.29;0.14
0.0;0.0;0.52;0.0;0.0;0.0
1.0;0.0;0.33;0.0;0.18;0.21
0.0;0.0;0.1;0.0;0.35;0.36
0.5;0.0;0.48;0.0;0.41;0.14
0.0;0.0;0.14;0.0;0.71;0.57
0.0;0.0;0.1;0.0;0.47;0.29
0.0;0.0;0.52;0.0;0.47;0.5
0.0;0.0;0.52;0.5;0.59;0.14
0.0;0.0;0.38;0.0;0.65;0.07
0.0;1.0;0.52;0.0;0.18;0.14
0.0;0.0;1.0;1.0;1.0;1.0
