# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P298
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_granger__graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P298;P380;P433;P218;P11;P113
5.0;0.0;2.0;0.0;15.0;22.0
7.0;0.0;4.0;0.0;7.0;26.0
4.0;0.0;5.0;0.0;15.0;31.0
1.0;0.0;3.0;0.0;14.0;37.0
4.0;0.0;2.0;0.0;17.0;32.0
3.0;0.0;2.0;0.0;7.0;25.0
5.0;0.0;1.0;0.0;10.0;28.0
3.0;0.0;5.0;1.0;16.0;33.0
7.0;0.0;3.0;0.0;11.0;40.0
4.0;0.0;5.0;0.0;8.0;27.0
6.0;0.0;6.0;0.0;8.0;38.0
7.0;0.0;5.0;0.0;10.0;40.0
9.0;0.0;2.0;0.0;10.0;31.0
3.0;0.0;7.0;0.0;12.0;32.0
4.0;0.0;4.0;0.0;10.0;29.0
4.0;0.0;5.0;0.0;16.0;34.0
2.0;0.0;2.0;0.0;13.0;34.0
5.0;0.0;3.0;0.0;10.0;29.0
2.0;0.0;3.0;0.0;13.0;31.0
3.0;0.0;3.0;0.0;13.0;43.0
8.0;0.0;2.0;0.0;18.0;31.0
5.0;0.0;5.0;0.0;12.0;37.0
5.0;0.0;10.0;0.0;15.0;27.0
3.0;0.0;8.0;0.0;9.0;33.0
4.0;0.0;6.0;0.0;8.0;33.0
5.0;0.0;5.0;0.0;5.0;23.0
2.0;0.0;1.0;0.0;11.0;19.0
5.0;0.0;1.0;0.0;8.0;21.0
1.0;0.0;2.0;0.0;9.0;19.0
4.0;0.0;4.0;0.0;10.0;25.0
0.0;0.0;3.0;0.0;7.0;33.0
2.0;0.0;4.0;0.0;12.0;37.0
1.0;0.0;3.0;0.0;12.0;30.0
2.0;0.0;3.0;0.0;9.0;33.0
2.0;0.0;3.0;0.0;16.0;27.0
5.0;0.0;4.0;0.0;11.0;32.0
2.0;0.0;3.0;0.0;12.0;35.0
3.0;0.0;2.0;0.0;10.0;33.0
4.0;0.0;10.0;0.0;6.0;28.0
3.0;0.0;7.0;1.0;19.0;31.0
4.0;0.0;2.0;0.0;6.0;31.0
7.0;0.0;1.0;0.0;12.0;30.0
0.0;0.0;2.0;0.0;11.0;37.0
1.0;0.0;5.0;0.0;16.0;28.0
6.0;0.0;6.0;0.0;12.0;27.0
4.0;0.0;2.0;0.0;11.0;34.0
4.0;0.0;3.0;0.0;13.0;41.0
1.0;0.0;4.0;0.0;8.0;39.0
5.0;0.0;3.0;1.0;17.0;28.0
6.0;1.0;7.0;0.0;10.0;32.0
5.0;0.0;3.0;0.0;10.0;40.0
8.0;2.0;16.0;2.0;21.0;16.0
0.0;0.0;1.0;0.0;5.0;16.0
9.0;2.0;16.0;2.0;21.0;43.0
0.56;0.0;0.07;0.0;0.63;0.22
0.78;0.0;0.2;0.0;0.13;0.37
0.44;0.0;0.27;0.0;0.63;0.56
0.11;0.0;0.13;0.0;0.56;0.78
0.44;0.0;0.07;0.0;0.75;0.59
0.33;0.0;0.07;0.0;0.13;0.33
0.56;0.0;0.0;0.0;0.31;0.44
0.33;0.0;0.27;0.5;0.69;0.63
0.78;0.0;0.13;0.0;0.38;0.89
0.44;0.0;0.27;0.0;0.19;0.41
0.67;0.0;0.33;0.0;0.19;0.81
0.78;0.0;0.27;0.0;0.31;0.89
1.0;0.0;0.07;0.0;0.31;0.56
0.33;0.0;0.4;0.0;0.44;0.59
0.44;0.0;0.2;0.0;0.31;0.48
0.44;0.0;0.27;0.0;0.69;0.67
0.22;0.0;0.07;0.0;0.5;0.67
0.56;0.0;0.13;0.0;0.31;0.48
0.22;0.0;0.13;0.0;0.5;0.56
0.33;0.0;0.13;0.0;0.5;1.0
0.89;0.0;0.07;0.0;0.81;0.56
0.56;0.0;0.27;0.0;0.44;0.78
0.56;0.0;0.6;0.0;0.63;0.41
0.33;0.0;0.47;0.0;0.25;0.63
0.44;0.0;0.33;0.0;0.19;0.63
0.56;0.0;0.27;0.0;0.0;0.26
0.22;0.0;0.0;0.0;0.38;0.11
0.56;0.0;0.0;0.0;0.19;0.19
0.11;0.0;0.07;0.0;0.25;0.11
0.44;0.0;0.2;0.0;0.31;0.33
0.0;0.0;0.13;0.0;0.13;0.63
0.22;0.0;0.2;0.0;0.44;0.78
0.11;0.0;0.13;0.0;0.44;0.52
0.22;0.0;0.13;0.0;0.25;0.63
0.22;0.0;0.13;0.0;0.69;0.41
0.56;0.0;0.2;0.0;0.38;0.59
0.22;0.0;0.13;0.0;0.44;0.7
0.33;0.0;0.07;0.0;0.31;0.63
0.44;0.0;0.6;0.0;0.06;0.44
0.33;0.0;0.4;0.5;0.88;0.56
0.44;0.0;0.07;0.0;0.06;0.56
0.78;0.0;0.0;0.0;0.44;0.52
0.0;0.0;0.07;0.0;0.38;0.78
0.11;0.0;0.27;0.0;0.69;0.44
0.67;0.0;0.33;0.0;0.44;0.41
0.44;0.0;0.07;0.0;0.38;0.67
0.44;0.0;0.13;0.0;0.5;0.93
0.11;0.0;0.2;0.0;0.19;0.85
0.56;0.0;0.13;0.5;0.75;0.44
0.67;0.5;0.4;0.0;0.31;0.59
0.56;0.0;0.13;0.0;0.31;0.89
0.89;1.0;1.0;1.0;1.0;0.0
