# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P23
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_te__jdit_graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P23;P586;P500;P806;P311;P437
3.0;7.0;8.0;4.0;8.0;7.0
5.0;2.0;8.0;5.0;6.0;4.0
4.0;4.0;3.0;7.0;1.0;13.0
3.0;6.0;4.0;4.0;9.0;6.0
3.0;8.0;13.0;7.0;5.0;3.0
2.0;8.0;9.0;2.0;1.0;7.0
5.0;7.0;5.0;7.0;3.0;6.0
4.0;3.0;6.0;4.0;5.0;3.0
5.0;3.0;10.0;5.0;12.0;4.0
5.0;8.0;8.0;7.0;4.0;7.0
7.0;6.0;10.0;3.0;7.0;8.0
7.0;4.0;4.0;2.0;3.0;8.0
5.0;4.0;12.0;4.0;3.0;12.0
4.0;4.0;6.0;6.0;6.0;6.0
6.0;13.0;11.0;5.0;2.0;7.0
6.0;3.0;7.0;5.0;3.0;5.0
6.0;6.0;5.0;3.0;2.0;7.0
8.0;8.0;6.0;4.0;9.0;5.0
4.0;4.0;8.0;3.0;6.0;4.0
4.0;8.0;3.0;2.0;0.0;4.0
3.0;5.0;6.0;2.0;7.0;8.0
3.0;10.0;7.0;8.0;2.0;13.0
3.0;7.0;4.0;4.0;2.0;5.0
4.0;9.0;9.0;6.0;4.0;11.0
9.0;13.0;8.0;9.0;7.0;8.0
4.0;14.0;4.0;7.0;3.0;12.0
6.0;6.0;6.0;2.0;5.0;6.0
5.0;4.0;7.0;4.0;6.0;3.0
4.0;7.0;5.0;3.0;8.0;1.0
3.0;5.0;6.0;3.0;1.0;3.0
2.0;7.0;8.0;4.0;3.0;2.0
3.0;4.0;7.0;8.0;4.0;5.0
1.0;4.0;4.0;3.0;8.0;4.0
3.0;8.0;4.0;3.0;0.0;6.0
4.0;5.0;8.0;4.0;4.0;6.0
5.0;2.0;6.0;8.0;2.0;6.0
6.0;3.0;4.0;4.0;8.0;9.0
5.0;5.0;8.0;7.0;4.0;8.0
2.0;4.0;7.0;2.0;1.0;5.0
5.0;4.0;4.0;3.0;8.0;4.0
3.0;7.0;4.0;6.0;4.0;8.0
6.0;8.0;2.0;8.0;7.0;8.0
3.0;3.0;5.0;8.0;2.0;4.0
3.0;2.0;6.0;5.0;5.0;2.0
4.0;6.0;5.0;7.0;0.0;7.0
5.0;2.0;3.0;6.0;2.0;7.0
2.0;7.0;4.0;5.0;3.0;4.0
1.0;5.0;5.0;9.0;5.0;7.0
6.0;4.0;3.0;5.0;4.0;0.0
2.0;5.0;5.0;11.0;6.0;5.0
4.0;12.0;8.0;8.0;2.0;6.0
0.0;11.0;6.0;8.0;4.0;9.0
0.0;2.0;2.0;2.0;0.0;0.0
9.0;14.0;13.0;11.0;12.0;13.0
0.33;0.42;0.55;0.22;0.67;0.54
0.56;0.0;0.55;0.33;0.5;0.31
0.44;0.17;0.09;0.56;0.08;1.0
0.33;0.33;0.18;0.22;0.75;0.46
0.33;0.5;1.0;0.56;0.42;0.23
0.22;0.5;0.64;0.0;0.08;0.54
0.56;0.42;0.27;0.56;0.25;0.46
0.44;0.08;0.36;0.22;0.42;0.23
0.56;0.08;0.73;0.33;1.0;0.31
0.56;0.5;0.55;0.56;0.33;0.54
0.78;0.33;0.73;0.11;0.58;0.62
0.78;0.17;0.18;0.0;0.25;0.62
0.56;0.17;0.91;0.22;0.25;0.92
0.44;0.17;0.36;0.44;0.5;0.46
0.67;0.92;0.82;0.33;0.17;0.54
0.67;0.08;0.45;0.33;0.25;0.38
0.67;0.33;0.27;0.11;0.17;0.54
0.89;0.5;0.36;0.22;0.75;0.38
0.44;0.17;0.55;0.11;0.5;0.31
0.44;0.5;0.09;0.0;0.0;0.31
0.33;0.25;0.36;0.0;0.58;0.62
0.33;0.67;0.45;0.67;0.17;1.0
0.33;0.42;0.18;0.22;0.17;0.38
0.44;0.58;0.64;0.44;0.33;0.85
1.0;0.92;0.55;0.78;0.58;0.62
0.44;1.0;0.18;0.56;0.25;0.92
0.67;0.33;0.36;0.0;0.42;0.46
0.56;0.17;0.45;0.22;0.5;0.23
0.44;0.42;0.27;0.11;0.67;0.08
0.33;0.25;0.36;0.11;0.08;0.23
0.22;0.42;0.55;0.22;0.25;0.15
0.33;0.17;0.45;0.67;0.33;0.38
0.11;0.17;0.18;0.11;0.67;0.31
0.33;0.5;0.18;0.11;0.0;0.46
0.44;0.25;0.55;0.22;0.33;0.46
0.56;0.0;0.36;0.67;0.17;0.46
0.67;0.08;0.18;0.22;0.67;0.69
0.56;0.25;0.55;0.56;0.33;0.62
0.22;0.17;0.45;0.0;0.08;0.38
0.56;0.17;0.18;0.11;0.67;0.31
0.33;0.42;0.18;0.44;0.33;0.62
0.67;0.5;0.0;0.67;0.58;0.62
0.33;0.08;0.27;0.67;0.17;0.31
0.33;0.0;0.36;0.33;0.42;0.15
0.44;0.33;0.27;0.56;0.0;0.54
0.56;0.0;0.09;0.44;0.17;0.54
0.22;0.42;0.18;0.33;0.25;0.31
0.11;0.25;0.27;0.78;0.42;0.54
0.67;0.17;0.09;0.33;0.33;0.0
0.22;0.25;0.27;1.0;0.5;0.38
0.44;0.83;0.55;0.67;0.17;0.46
0.0;0.75;0.36;0.67;0.33;0.69
