# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P615
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_granger__graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P615;P380;P433;P234;P218;P11
17.0;0.0;2.0;0.0;0.0;15.0
16.0;0.0;4.0;0.0;0.0;7.0
19.0;0.0;5.0;0.0;0.0;15.0
20.0;0.0;3.0;0.0;0.0;14.0
19.0;0.0;2.0;1.0;0.0;17.0
19.0;0.0;2.0;0.0;0.0;7.0
29.0;0.0;1.0;0.0;0.0;10.0
35.0;0.0;5.0;0.0;1.0;16.0
15.0;0.0;3.0;0.0;0.0;11.0
27.0;0.0;5.0;0.0;0.0;8.0
24.0;0.0;6.0;0.0;0.0;8.0
24.0;0.0;5.0;0.0;0.0;10.0
34.0;0.0;2.0;0.0;0.0;10.0
29.0;0.0;7.0;0.0;0.0;12.0
24.0;0.0;4.0;0.0;0.0;10.0
29.0;0.0;5.0;0.0;0.0;16.0
24.0;0.0;2.0;0.0;0.0;13.0
29.0;0.0;3.0;0.0;0.0;10.0
22.0;0.0;3.0;0.0;0.0;13.0
22.0;0.0;3.0;0.0;0.0;13.0
37.0;0.0;2.0;0.0;0.0;18.0
32.0;0.0;5.0;1.0;0.0;12.0
25.0;0.0;10.0;0.0;0.0;15.0
27.0;0.0;8.0;0.0;0.0;9.0
50.0;0.0;6.0;0.0;0.0;8.0
33.0;0.0;5.0;0.0;0.0;5.0
14.0;0.0;1.0;0.0;0.0;11.0
11.0;0.0;1.0;0.0;0.0;8.0
13.0;0.0;2.0;0.0;0.0;9.0
24.0;0.0;4.0;0.0;0.0;10.0
16.0;0.0;3.0;0.0;0.0;7.0
17.0;0.0;4.0;0.0;0.0;12.0
15.0;0.0;3.0;0.0;0.0;12.0
17.0;0.0;3.0;0.0;0.0;9.0
18.0;0.0;3.0;0.0;0.0;16.0
20.0;0.0;4.0;0.0;0.0;11.0
19.0;0.0;3.0;0.0;0.0;12.0
26.0;0.0;2.0;0.0;0.0;10.0
16.0;0.0;10.0;0.0;0.0;6.0
24.0;0.0;7.0;0.0;1.0;19.0
17.0;0.0;2.0;0.0;0.0;6.0
20.0;0.0;1.0;0.0;0.0;12.0
26.0;0.0;2.0;0.0;0.0;11.0
35.0;0.0;5.0;0.0;0.0;16.0
29.0;0.0;6.0;0.0;0.0;12.0
22.0;0.0;2.0;0.0;0.0;11.0
22.0;0.0;3.0;0.0;0.0;13.0
30.0;0.0;4.0;0.0;0.0;8.0
29.0;0.0;3.0;0.0;1.0;17.0
31.0;1.0;7.0;0.0;0.0;10.0
34.0;0.0;3.0;2.0;0.0;10.0
39.0;2.0;16.0;0.0;2.0;21.0
11.0;0.0;1.0;0.0;0.0;5.0
50.0;2.0;16.0;2.0;2.0;21.0
0.15;0.0;0.07;0.0;0.0;0.63
0.13;0.0;0.2;0.0;0.0;0.13
0.21;0.0;0.27;0.0;0.0;0.63
0.23;0.0;0.13;0.0;0.0;0.56
0.21;0.0;0.07;0.5;0.0;0.75
0.21;0.0;0.07;0.0;0.0;0.13
0.46;0.0;0.0;0.0;0.0;0.31
0.62;0.0;0.27;0.0;0.5;0.69
0.1;0.0;0.13;0.0;0.0;0.38
0.41;0.0;0.27;0.0;0.0;0.19
0.33;0.0;0.33;0.0;0.0;0.19
0.33;0.0;0.27;0.0;0.0;0.31
0.59;0.0;0.07;0.0;0.0;0.31
0.46;0.0;0.4;0.0;0.0;0.44
0.33;0.0;0.2;0.0;0.0;0.31
0.46;0.0;0.27;0.0;0.0;0.69
0.33;0.0;0.07;0.0;0.0;0.5
0.46;0.0;0.13;0.0;0.0;0.31
0.28;0.0;0.13;0.0;0.0;0.5
0.28;0.0;0.13;0.0;0.0;0.5
0.67;0.0;0.07;0.0;0.0;0.81
0.54;0.0;0.27;0.5;0.0;0.44
0.36;0.0;0.6;0.0;0.0;0.63
0.41;0.0;0.47;0.0;0.0;0.25
1.0;0.0;0.33;0.0;0.0;0.19
0.56;0.0;0.27;0.0;0.0;0.0
0.08;0.0;0.0;0.0;0.0;0.38
0.0;0.0;0.0;0.0;0.0;0.19
0.05;0.0;0.07;0.0;0.0;0.25
0.33;0.0;0.2;0.0;0.0;0.31
0.13;0.0;0.13;0.0;0.0;0.13
0.15;0.0;0.2;0.0;0.0;0.44
0.1;0.0;0.13;0.0;0.0;0.44
0.15;0.0;0.13;0.0;0.0;0.25
0.18;0.0;0.13;0.0;0.0;0.69
0.23;0.0;0.2;0.0;0.0;0.38
0.21;0.0;0.13;0.0;0.0;0.44
0.38;0.0;0.07;0.0;0.0;0.31
0.13;0.0;0.6;0.0;0.0;0.06
0.33;0.0;0.4;0.0;0.5;0.88
0.15;0.0;0.07;0.0;0.0;0.06
0.23;0.0;0.0;0.0;0.0;0.44
0.38;0.0;0.07;0.0;0.0;0.38
0.62;0.0;0.27;0.0;0.0;0.69
0.46;0.0;0.33;0.0;0.0;0.44
0.28;0.0;0.07;0.0;0.0;0.38
0.28;0.0;0.13;0.0;0.0;0.5
0.49;0.0;0.2;0.0;0.0;0.19
0.46;0.0;0.13;0.0;0.5;0.75
0.51;0.5;0.4;0.0;0.0;0.31
0.59;0.0;0.13;1.0;0.0;0.31
0.72;1.0;1.0;0.0;1.0;1.0
